sample	role	relative_path	source_path	size_bytes	status
ES	cellbender_qc	ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html	1103214	present
ES	cellbender_qc	ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log	34321	present
ES	cellbender_qc	ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf	106567	present
ES	feature_h5ad	ES/downstream_genefull_velocyto_cellbender/feature_libraries/grna_es/filtered_feature_library.h5ad	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/feature_libraries/grna_es/filtered_feature_library.h5ad	6167094	present
ES	feature_h5ad	ES/downstream_genefull_velocyto_cellbender/feature_libraries/grna_es/raw_feature_library.h5ad	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/feature_libraries/grna_es/raw_feature_library.h5ad	48251155	present
ES	feature_h5ad	ES/downstream_genefull_velocyto_cellbender/feature_libraries/larry_es/filtered_feature_library.h5ad	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/feature_libraries/larry_es/filtered_feature_library.h5ad	55152520	present
ES	feature_h5ad	ES/downstream_genefull_velocyto_cellbender/feature_libraries/larry_es/raw_feature_library.h5ad	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/feature_libraries/larry_es/raw_feature_library.h5ad	82274840	present
ES	feature_qc	ES/downstream_genefull_velocyto_cellbender/feature_libraries/grna_es/manifest.json	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/feature_libraries/grna_es/manifest.json	1842	present
ES	feature_qc	ES/downstream_genefull_velocyto_cellbender/feature_libraries/larry_es/manifest.json	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/ES/downstream_genefull_velocyto_cellbender/feature_libraries/larry_es/manifest.json	1669	present
DE	sample_qc	DE/RUN_COMMAND.sh	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/RUN_COMMAND.sh	10178	present
DE	sample_qc	DE/RUN_MANIFEST.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/RUN_MANIFEST.txt	591	present
DE	sample_qc	DE/SAMPLE_PIPELINE_COMPLETE.ok	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/SAMPLE_PIPELINE_COMPLETE.ok	3	present
DE	sample_qc	DE/pf_multi_config.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/pf_multi_config.csv	858	present
DE	sample_qc	DE/star.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/star.log	89793	present
DE	sample_qc	DE/downstream.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream.log	14714	present
DE	sample_qc	DE/prepare_velocyto.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/prepare_velocyto.log	393	present
DE	sample_qc	DE/remote_cellbender_driver.log	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/remote_cellbender_driver.log	5359	present
DE	star_qc	DE/run/Log.out	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Log.out	739269	present
DE	star_qc	DE/run/Log.final.out	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Log.final.out	3337	present
DE	star_qc	DE/run/Log.progress.out	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Log.progress.out	2724	present
DE	star_qc	DE/run/Solo.out/Barcodes.stats	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Solo.out/Barcodes.stats	792	present
DE	star_qc	DE/run/outs/velocyto_feature_bc_matrix_manifest.json	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/outs/velocyto_feature_bc_matrix_manifest.json	879	present
DE	solo_qc	DE/run/Solo.out/GeneFull/Summary.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Solo.out/GeneFull/Summary.csv	690	present
DE	solo_qc	DE/run/Solo.out/Velocyto/Summary.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Solo.out/Velocyto/Summary.csv	339	present
DE	solo_qc	DE/run/Solo.out/GeneFull/Features.stats	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Solo.out/GeneFull/Features.stats	726	present
DE	solo_qc	DE/run/Solo.out/Velocyto/Features.stats	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Solo.out/Velocyto/Features.stats	726	present
DE	solo_qc	DE/run/Solo.out/GeneFull/UMIperCellSorted.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/Solo.out/GeneFull/UMIperCellSorted.txt	4607950	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/barcodes.txt	4066077	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/deduped_counts_histograms.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/deduped_counts_histograms.txt	84768	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/feature_sequences.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/feature_sequences.txt	31121	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/features.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/features.txt	171	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/filtered/barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/filtered/barcodes.txt	563686	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/filtered/features.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/filtered/features.txt	171	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/filtered/stats.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/filtered/stats.txt	833	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/filtered_barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/filtered_barcodes.txt	95166	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/stats.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/PolyIII/stats.txt	829	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/assignBarcodes.api_run.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/assignBarcodes.api_run.txt	2057	present
DE	feature_assignment_qc	DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/whitelist.normalized.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/CRISPR_Guide_Capture/grna_de/whitelist.normalized.txt	62668800	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/barcodes.txt	4530619	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/deduped_counts_histograms.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/deduped_counts_histograms.txt	481670	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/feature_sequences.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/feature_sequences.txt	10033506	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/features.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/features.txt	2102706	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/filtered/barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/filtered/barcodes.txt	561918	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/filtered/features.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/filtered/features.txt	2102706	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/filtered/stats.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/filtered/stats.txt	830	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/filtered_barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/filtered_barcodes.txt	425595	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/LARRY/stats.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/LARRY/stats.txt	826	present
DE	feature_assignment_qc	DE/run/cr_assign/Custom/larry_de/assignBarcodes.api_run.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/cr_assign/Custom/larry_de/assignBarcodes.api_run.txt	2937	present
DE	crispr_calls	DE/run/outs/crispr_analysis/protospacer_calls_per_cell.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/outs/crispr_analysis/protospacer_calls_per_cell.csv	991633	present
DE	crispr_calls	DE/run/outs/crispr_analysis/protospacer_calls_summary.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/outs/crispr_analysis/protospacer_calls_summary.csv	637	present
DE	crispr_calls	DE/run/outs/crispr_analysis/protospacer_umi_thresholds.csv	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/outs/crispr_analysis/protospacer_umi_thresholds.csv	271	present
DE	crispr_calls	DE/run/outs/crispr_analysis/protospacer_umi_thresholds.json	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/run/outs/crispr_analysis/protospacer_umi_thresholds.json	488	present
DE	primary_h5ad	DE/downstream_genefull_velocyto_cellbender/filtered_counts.h5ad	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/filtered_counts.h5ad	5035187599	present
DE	primary_h5ad	DE/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad	3966697605	present
DE	downstream_qc	DE/downstream_genefull_velocyto_cellbender/summary.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/summary.txt	21234	present
DE	downstream_qc	DE/downstream_genefull_velocyto_cellbender/final_counts.summary.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/final_counts.summary.txt	21234	present
DE	downstream_qc	DE/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json	397	present
DE	downstream_qc	DE/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.html	3861226	present
DE	downstream_qc	DE/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/gene_quantile_histogram.png	190914	present
DE	downstream_qc	DE/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/filtered_barcodes_with_scores.txt	1550129	present
DE	downstream_qc	DE/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt	/mnt/pikachu/msk30ko-production-sample-archive/MSK-05-13-26-large-files/DE/downstream_genefull_velocyto_cellbender/doublet_barcodes.txt	144001	present
