sample_relpath	file_count	size_bytes
TFDP1/24h/ATAC-TFDP1-24h-1	12	244332285
TFDP1/24h/ATAC-TFDP1-24h-2	12	464716722
TFDP1/6h/ATAC-TFDP1-6h-1	12	758866736
TFDP1/6h/ATAC-TFDP1-6h-2	12	527840958
U2AF2/0h/ATAC-U2AF2-0h-1	12	1269039656
U2AF2/0h/ATAC-U2AF2-0h-2	12	980564525
U2AF2/6h/ATAC-U2AF2-6h-1	12	1375268828
U2AF2/6h/ATAC-U2AF2-6h-2	12	792887661
WDHD1/0h/ATAC-WDHD1-0h-1	12	1566298700
WDHD1/0h/ATAC-WDHD1-0h-2	12	990053623
WDHD1/24h/ATAC-WDHD1-24h-1	12	1369519797
WDHD1/24h/ATAC-WDHD1-24h-2	12	923750845
YY1/0h/ATAC-YY1-0h-1	12	2657628737
YY1/0h/ATAC-YY1-0h-2	12	1737122783
YY1/24h/ATAC-YY1-24h-1	12	2272376506
YY1/24h/ATAC-YY1-24h-2	12	548931227
YY1/6h/ATAC-YY1-6h-1	12	1823115355
YY1/6h/ATAC-YY1-6h-2	12	791921368
unknown/unknown/23247FL-01-01-01	12	2327609279
unknown/unknown/23247FL-01-01-02	12	1295379060
unknown/unknown/23247FL-01-01-03	12	2134166248
unknown/unknown/23247FL-01-01-04	12	2200813484
unknown/unknown/23247FL-01-01-05	12	1602498802
unknown/unknown/23247FL-01-01-06	12	2451771982
unknown/unknown/23247FL-01-01-07	12	1370515521
unknown/unknown/23247FL-01-01-08	12	1468652482
unknown/unknown/23247FL-01-01-09	12	1446596351
unknown/unknown/23247FL-01-01-10	12	1600976264
unknown/unknown/23247FL-01-01-11	12	1209938808
unknown/unknown/23247FL-01-01-12	12	1333847880
unknown/unknown/23247FL-01-01-13	12	1665036222
unknown/unknown/23247FL-01-01-14	12	1864517059
unknown/unknown/23247FL-01-01-15	12	1828473509
unknown/unknown/23247FL-01-01-16	12	1223090746
unknown/unknown/23247FL-01-02-01	12	906424490
unknown/unknown/23247FL-01-02-02	12	1145901518
unknown/unknown/23247FL-01-02-03	12	1289049292
unknown/unknown/23247FL-01-02-04	12	1036523677
unknown/unknown/23247FL-01-02-05	12	1563574629
unknown/unknown/23247FL-01-02-06	12	1292761453
unknown/unknown/23247FL-01-02-07	12	1383245482
unknown/unknown/23247FL-01-02-08	12	1324575474
unknown/unknown/23247FL-01-02-09	12	1408315876
unknown/unknown/23247FL-01-02-10	12	1751029638
unknown/unknown/23247FL-01-02-11	12	1616152805
unknown/unknown/23247FL-01-02-12	12	1683716635
unknown/unknown/23247FL-01-02-13	12	1197705142
unknown/unknown/23247FL-01-02-14	12	1480248110
unknown/unknown/23247FL-01-02-15	12	1514648116
unknown/unknown/23247FL-01-02-16	12	1017924494
unknown/unknown/23247FL-01-02-17	12	1145234048
unknown/unknown/23247FL-01-02-18	12	1184552700
unknown/unknown/23247FL-01-02-19	12	1433217836
unknown/unknown/23247FL-01-02-20	12	1343494688
