dataset	sample	relative_path	bytes	source	source_mtime_utc	destination
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/non_empty_barcodes.txt	73910	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/non_empty_barcodes.txt	2026-05-21T07:29:53Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/non_empty_barcodes.txt
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/summary.txt	13134	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/summary.txt	2026-05-21T07:41:19Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/summary.txt
JAX scRNAseq02	GRHL1-Day-4	GRHL1-Day-4/downstream_genefull_velocyto_cellbender/unfiltered_counts.h5ad	728201398	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/GRHL1-Day-4/downstream_genefull_velocyto_cellbender_remote/unfiltered_counts.h5ad	2026-05-21T07:41:10Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/GRHL1-Day-4/downstream_genefull_velocyto_cellbender/unfiltered_counts.h5ad
JAX scRNAseq02	OVOL1-Day-4	OVOL1-Day-4/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json	1026	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/OVOL1-Day-4/downstream_genefull_velocyto_cellbender_remote/adaptive_qc_threshold.json	2026-05-21T07:43:56Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/OVOL1-Day-4/downstream_genefull_velocyto_cellbender/adaptive_qc_threshold.json
JAX scRNAseq02	OVOL1-Day-4	OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log	21544	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/OVOL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.log	2026-05-21T07:54:34Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.log
JAX scRNAseq02	OVOL1-Day-4	OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf	77203	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/OVOL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts.pdf	2026-05-21T07:50:09Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts.pdf
JAX scRNAseq02	OVOL1-Day-4	OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv	73245	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/OVOL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_cell_barcodes.csv	2026-05-21T07:50:09Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_cell_barcodes.csv
JAX scRNAseq02	OVOL1-Day-4	OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv	585	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/OVOL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_metrics.csv	2026-05-21T07:54:23Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_metrics.csv
JAX scRNAseq02	OVOL1-Day-4	OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html	1051183	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/OVOL1-Day-4/downstream_genefull_velocyto_cellbender_remote/cellbender/cellbender_counts_report.html	2026-05-21T07:54:34Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/OVOL1-Day-4/downstream_genefull_velocyto_cellbender/cellbender/cellbender_counts_report.html
JAX scRNAseq02	OVOL1-Day-4	OVOL1-Day-4/downstream_genefull_velocyto_cellbender/counts.h5ad	717478038	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/OVOL1-Day-4/downstream_genefull_velocyto_cellbender_remote/counts.h5ad	2026-05-21T07:54:38Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/OVOL1-Day-4/downstream_genefull_velocyto_cellbender/counts.h5ad
JAX scRNAseq02	OVOL1-Day-4	OVOL1-Day-4/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad	418694598	/mnt/pikachu/JAX_scRNAseq02_processed/ocm_prod_batch_flex_native_yremove_trace_20260521T034223Z/25E32-L3/samples/OVOL1-Day-4/downstream_genefull_velocyto_cellbender_remote/default_singlet_filtered_counts.h5ad	2026-05-21T07:54:47Z	/JAX_scRNAseq02_processed/JAX-scRNAseq02-5-22-26/OVOL1-Day-4/downstream_genefull_velocyto_cellbender/default_singlet_filtered_counts.h5ad
